Date,Nature,gb30d_03m_fut_before,gb30d_03m_fut_after,gt02_fut_before,gt02_fut_after,gt05_fut_before,gt05_fut_after,gb30d_09m_fut_before,gb30d_09m_fut_after,gb30d_01m_fut_before,gb30d_01m_fut_after,gt10_fut_before,gt10_fut_after,bcom_before,bcom_after,gb30d_06m_fut_before,gb30d_06m_fut_after
2021-06-15,,99.93,99.93,110.4140625,110.40234375,124.4609375,124.4609375,99.915,99.91,99.93,99.93,133.421875,133.4375,94.314,93.5422,99.91,99.91
2021-07-27,,99.91,99.91,110.28515625,110.30078125,124.3125,124.4140625,99.905,99.91,99.9025,99.9,134.203125,134.46875,96.6417,95.8341,99.915,99.915
2021-09-21,,99.92,99.92,110.3203125,110.328125,124.0,123.9609375,99.92,99.92,99.92,99.92,133.84375,133.859375,96.0519,95.7663,99.92,99.92
2021-11-02,,99.925,99.925,109.59375,109.72265625,121.6953125,121.96875,99.775,99.8,99.925,99.925,130.65625,130.96875,103.6426,104.2177,99.89,99.9
2021-12-14,,99.92,99.915,109.50390625,109.4765625,121.5546875,121.4296875,99.7,99.69,99.92,99.915,131.515625,131.296875,96.4993,95.9836,99.87,99.865
2022-01-25,,99.8,99.785,108.6953125,108.61328125,119.7421875,119.4921875,99.27,99.22,99.9175,99.9175,128.515625,128.125,104.6155,105.6162,99.465,99.43
2022-03-15,,99.785,99.785,107.23828125,107.23828125,116.8125,116.703125,98.66,98.67,99.785,99.785,124.953125,124.8125,123.799,121.899,99.085,99.095
2022-05-03,,98.87,98.86,105.36328125,105.2890625,112.2578125,112.28125,97.285,97.22,99.22,99.2175,118.34375,118.515625,128.971,128.6199,97.98,97.945
2022-06-14,,98.8925,98.81,104.63671875,104.35546875,110.34375,109.8203125,96.71,96.455,98.8925,98.81,115.796875,114.96875,133.2447,129.0639,97.8,97.52
2022-07-26,,97.455,97.46,104.98046875,104.9765625,112.84375,112.90625,96.62,96.64,98.32,98.3175,119.65625,119.859375,118.072,119.3385,96.64,96.67
2022-09-20,,97.4325,97.4325,103.35546875,103.33203125,109.03125,108.8046875,95.585,95.58,97.4325,97.4325,114.359375,113.84375,116.8749,117.3242,95.955,95.97
2022-11-01,,95.83,95.83,102.19140625,102.09765625,106.59375,106.53125,95.05,94.97,96.92,96.215,110.59375,110.578125,113.3532,113.5167,95.15,95.125
2022-12-13,,95.8825,95.8925,102.47265625,102.80078125,108.4453125,109.1484375,95.015,95.16,95.8825,95.8925,113.59375,114.53125,112.737,114.9612,95.205,95.29
2023-01-31,,95.345,95.35,102.73046875,102.82421875,109.03125,109.2421875,95.14,95.165,95.67,95.6675,114.28125,114.515625,110.7983,111.8001,95.07,95.09
2023-03-21,,95.37,95.365,103.4140625,102.921875,109.21875,108.6328125,95.715,95.31,95.37,95.365,114.59375,113.640625,102.5698,102.707,95.23,95.075
2023-05-02,,94.895,94.96,102.94140625,103.2421875,109.328125,110.0859375,95.325,95.49,94.9575,94.9775,114.5,115.5625,103.6653,102.3281,94.945,95.09
2023-06-13,,94.885,94.9075,102.0546875,101.84375,107.75,107.296875,94.875,94.825,94.885,94.9075,112.703125,112.015625,99.9348,101.1083,94.7,94.735
2023-07-25,,94.665,94.66,101.6328125,101.52734375,107.09375,106.8203125,94.74,94.715,94.8825,94.88,112.0625,111.609375,107.6541,108.2421,94.6,94.58
2023-09-19,,94.6675,94.6675,101.390625,101.3125,105.546875,105.3125,94.585,94.575,94.6675,94.6675,109.203125,108.828125,107.4003,107.4641,94.565,94.57
2023-10-31,,94.635,94.635,101.27734375,101.2109375,104.5546875,104.4765625,94.81,94.76,94.67,94.6725,106.21875,106.171875,104.474,104.6162,94.6,94.58
2023-12-12,,94.67,94.6675,101.91796875,101.890625,106.5546875,106.640625,95.04,95.035,94.67,94.6675,110.03125,110.25,97.304,96.3658,94.715,94.71
2024-01-30,,94.715,94.71,102.66015625,102.5859375,107.9375,107.8828125,95.555,95.505,94.67,94.67,111.515625,111.625,97.9105,98.858,95.145,95.115
2024-03-19,,94.67,94.67,101.96484375,102.0703125,106.171875,106.3984375,94.99,95.0,94.67,94.67,109.359375,109.671875,99.6785,99.5907,94.77,94.775
