Date,mp_surprise_gb30d_03m_fut,mp_surprise_gt02_fut,mp_surprise_gt05_fut,mp_surprise_gb30d_09m_fut,mp_surprise_gb30d_01m_fut,mp_surprise_gt10_fut,mp_surprise_gb30d_06m_fut
2004-05-04,0.011481481481487355,0.03587962962962963,-0.08969907407407407,-0.005740740740735519,0.005740740740735519,-0.2332175925925926,-0.005740740740735519
2004-06-29,-0.0049999999999954525,0.0546875,0.21875,0.020000000000010232,-0.0049999999999954525,0.34375,0.010000000000005116
2004-08-10,-0.02952380952380365,-0.29985119047619047,-0.5074404761904763,-0.14761904761903924,-0.022142857142857984,-0.5305059523809524,-0.07380952380951962
2004-09-21,-0.01666666666669888,-0.22916666666664773,-0.625,-0.1166666666666553,-0.01666666666669888,-0.4166666666666667,-0.08333333333335229
2004-11-10,-0.007499999999993179,-0.12890625,-0.234375,-0.02999999999999403,0.0,-0.3984375,-0.014999999999986358
2004-12-14,0.0,0.0,0.1994485294117647,0.0,0.0,0.1994485294117647,0.0
2005-02-01,-0.005185185185180469,0.008101851851851851,0.016203703703703703,0.0,-0.23333333333332743,0.016203703703703703,0.0051851851851952065
2005-03-22,0.0,-0.5381944444444444,-3.282986111111111,-0.24111111111108763,0.0,-5.220486111111112,-0.03444444444446207
2005-05-03,-0.005535714285709251,-0.060546875,-0.13839285714285715,-0.03875000000001196,0.0,-0.13839285714285715,-0.022142857142868472
2005-06-29,0.0,-0.046875,-0.078125,-0.015000000000000568,0.0,-0.171875,-0.0049999999999954525
2005-08-09,0.0,0.06605113636363637,0.22017045454545456,0.02113636363636444,0.0,0.3302556818181818,0.007045454545448138
2005-09-20,-0.014999999999986358,-0.328125,-0.375,-0.2550000000000239,-0.014999999999986358,-0.28125,-0.19499999999999318
2005-11-01,0.0,-0.05657327586206897,-0.08081896551724138,-0.041379310344819356,-0.23793103448274805,-0.09698275862068967,-0.0051724137930987445
2005-12-13,0.0,0.040364583333333336,0.16145833333333334,0.034444444444437596,0.0,0.2421875,0.0
2006-01-31,0.0,-0.0234375,-0.046900000000007935,0.0,0.0,-0.046875,-0.009999999999990905
2006-03-27,-0.0049999999999954525,-0.046875,-0.109375,-0.005000000000009663,-0.0049999999999954525,-0.171875,0.0
2006-05-10,0.0,-0.046130952380952384,-0.06919642857142858,-0.02952380952382463,0.007380952380945669,-0.06919642857142858,-0.007380952380945669
2006-06-28,0.009999999999990905,-0.046875,-0.140625,-0.01999999999999602,0.009999999999990905,-0.21875,-0.005000000000009663
2006-08-08,0.05391304347825014,0.08423913043478261,0.12635869565217392,0.04043478260867803,0.040434782608697185,0.06317934782608696,0.033695652173920704
2006-09-20,0.0,-0.0703125,0.09375,-0.014999999999986358,0.0,0.328125,0.0
2006-10-24,0.0,0.0,-0.13839285714285715,-0.04428571428567401,0.0,-0.06919642857142858,0.0
2006-12-12,0.0,0.14021381578947367,0.3314144736842105,0.032631578947385116,0.0,0.3824013157894737,0.008157894736834686
2007-01-30,0.0,0.0234375,0.0625,0.005000000000009663,0.0,0.09375,0.0
2007-03-20,0.0,0.13210227272727273,0.26420454545454547,0.0,0.0,0.39630681818181823,0.0
2007-05-09,-0.007045454545448138,-0.14311079545454547,-0.28622159090909094,-0.05636363636362515,0.0,-0.4403409090909091,-0.014090909090916301
2007-06-27,0.0,0.03125,0.140625,0.0049999999999954525,0.0,0.21875,0.0
2007-08-07,-0.05166666666665639,-0.10091145833333334,-0.16145833333333334,-0.1097916666666586,-0.025833333333346552,-0.14127604166666669,-0.10333333333333114
2007-08-10,0.036904761904770295,0.03459821428571429,0.046130952380952384,0.0959523809523776,0.0,0.16145833333333334,0.09595238095239858
2007-08-16,0.0826666666666796,0.6458333333333334,1.4208333333333334,0.3203333333333357,0.02066666666667724,1.3885416666666668,0.3409999999999836
2007-09-18,0.14999999999997016,0.41015625,0.5859375,0.4749999999999943,0.14999999999997016,0.2734375,0.4374999999999929
2007-10-30,0.0,-0.015625,0.0,-0.03999999999999204,-0.0049999999999954525,0.0,-0.024999999999991473
2007-12-06,-0.006199999999994361,-0.2421875,-0.46499999999999997,-0.06820000000000846,-0.006199999999994361,-0.65875,-0.012399999999988722
2007-12-11,-0.007750000000014978,0.520703125,1.3804687500000001,0.06975000000000264,-0.007750000000014978,1.8890625,0.0
2008-01-09,0.07045454545454145,0.2421875,0.4403409090909091,0.1409090909090829,0.0,0.4403409090909091,0.15499999999999922
2008-01-21,1.6119999999999877,0.9929687500000001,2.7609375000000003,1.1625,0.6665000000000106,3.584375,1.2244999999999877
2008-01-29,-0.03499999999999659,-0.125,-0.328125,-0.04999999999999716,0.0,-0.46875,-0.015000000000000568
2008-03-10,-0.022142857142857984,0.09226190476190477,0.33444940476190477,0.02952380952380365,-0.022142857142857984,1.1532738095238095,0.0
2008-03-18,-0.16692307692309455,-1.1177884615384615,-2.235576923076923,-0.560384615384614,-0.16692307692309455,-2.347355769230769,-0.4649999999999837
2008-04-29,0.0,0.03125,0.1328125,0.03499999999999659,0.0,0.046875,0.015000000000000568
2008-06-24,0.005000000000009663,0.1953125,0.3984375,0.060000000000002274,0.005000000000009663,0.6875,0.0049999999999954525
2008-07-24,0.08857142857141095,1.7299107142857144,3.840401785714286,0.9078571428571354,0.0,5.051339285714286,0.5314285714285286
2008-08-05,0.005961538461549983,-0.009314903846153846,-0.09314903846153846,0.05365384615384819,0.00596153846153304,-0.16766826923076922,0.02980769230768214
2008-09-16,-0.058928571428578734,-0.6194196428571428,-0.7198660714285714,-0.33214285714285957,-0.058928571428578734,-0.4017857142857143,-0.21428571428573254
