05 19 1993	-0.0258	-0.018	-0.01	-0.02	-0.02	-0.03	-0.006	-0.005	-0.012	-0.016	-0.015	-0.015	-0.0144	0.1596	0
07 08 1993	0.027	-0.0373	0	-0.01	0	0	0	0	-0.004	0	-0.002	-0.002	-0.0049	0.29	0
08 18 1993	0	0.075	0.01	0.02	0	0.02	0	0.006	0.008	0.007	0.008	0.013	0.0097	-0.1182	0
09 22 1993	0	0.0231	0	0	-0.01	-0.02	0	0	0.004	0.009	0.004	0.002	-0.0027	0	0
11 17 1993	0.0231	-0.0564	0.01	0	0	0	-0.005	-0.005	-0.004	0	-0.012	-0.009	-0.0291	0.0408	0
12 22 1993	0	-0.0117	0	0	0	-0.08	-0.005	-0.005	0	0	0	-0.006	0	0.0193	0
02 04 1994	0.1633	-0.0548	0.13	0.15	0.14	0.16	0.149	0.131	0.142	0.112	0.074	0.016	0.0239	-0.6599	1
03 22 1994	0	-0.0886	-0.06	-0.05	-0.05	-0.05	-0.021	-0.053	-0.052	-0.073	-0.066	-0.051	-0.0582	0.3008	0
04 18 1994	0.15	-0.005	0.07	0.08	0.09	0.09	0.114	0.084	0.099	0.076	0.049	0.032	0.0111	-0.6789	0
05 17 1994	0.1107	-0.0514	-0.03	-0.07	-0.07	-0.07	0.036	-0.032	-0.069	-0.087	-0.095	-0.076	-0.1092	0.5416	1
07 06 1994	-0.0496	0.0529	0	0	0.01	0.01	-0.01	0	0	0.013	0.015	0.018	0.0183	-0.1835	0
08 16 1994	0.124	0	0.07	0.03	0.01	0	0.073	0.059	0.022	-0.022	-0.047	-0.039	-0.0846	0.2552	1
09 27 1994	-0.09	-0.01	-0.03	-0.02	-0.01	0	-0.062	-0.032	-0.009	0.023	0.024	0.039	0.0261	-0.195	0
11 15 1994	0.12	0.0073	0.06	0.04	0.03	0.03	-0.031	0.032	0.026	0.004	-0.012	-0.032	-0.0362	-0.5506	1
12 20 1994	-0.2255	-0.0435	-0.07	0.01	0.01	0.02	-0.083	-0.059	-0.013	-0.008	0.006	0.014	0.0265	0.0459	0
02 01 1995	0.0622	0.04	0.05	0.05	0.06	0.06	0.042	0.033	0.068	0.053	0.032	0.022	0.0017	-0.2096	1
03 28 1995	-0.01	0.0675	0.01	0.02	0.02	0.02	0.011	0.021	0.009	0.011	0.016	0.009	0.0233	-0.1431	0
05 23 1995	0	0	-0.01	-0.01	-0.01	0	-0.005	0.006	0	0.003	0.002	0.002	0.0006	-0.0171	0
07 06 1995	-0.1116	-0.1061	-0.18	-0.27	-0.26	-0.25	-0.146	-0.215	-0.19	-0.169	-0.134	-0.083	-0.0879	0.3107	1
08 22 1995	0.0344	0.01	0.05	0.06	0.06	0.05	0.01	0.021	0.035	0.036	0.026	0.037	0.0124	-0.17	0
09 26 1995	0.03	0.03	0.07	0.06	0.08	0.05	0.084	0.07	0.039	0.045	0.032	0.013	0.0145	-0.175	0
11 15 1995	0.04	-0.0116	0.05	0.03	0.02	0.03	0.016	0.043	0.03	0.022	0.016	0.004	0.0081	-0.0611	0
12 19 1995	-0.0904	-0.06	-0.05	-0.03	-0.03	-0.04	-0.021	-0.037	-0.017	-0.022	-0.008	-0.015	0.0108	0.264	1
01 31 1996	-0.03	-0.02	-0.02	-0.02	-0.03	-0.04	-0.01	-0.021	-0.029	-0.033	-0.01	-0.002	0.0209	0.0507	1
03 26 1996	0.01	-0.021	0.01	0.01	0.02	0.01	-0.005	0.011	0.013	-0.008	-0.002	-0.006	-0.0013	0.0092	0
05 21 1996	0	0.0111	0	0.02	0.01	0.02	0.005	0.006	0.013	0.015	0.012	0.009	0.008	-0.2149	0
07 03 1996	-0.072	-0.0101	-0.04	-0.02	-0.01	-0.01	-0.042	-0.027	-0.026	-0.02	-0.011	0.003	0.0016	0.1386	0
08 20 1996	-0.0282	0.01	0	0	0.02	0.01	-0.015	0.006	0.009	0.013	0.013	0.013	0.0132	-0.144	0
09 24 1996	-0.12	-0.1024	-0.08	-0.09	-0.07	-0.08	-0.135	-0.102	-0.091	-0.056	-0.031	-0.012	0.0039	0.0073	0
11 13 1996	-0.0177	-0.0007	0	-0.01	-0.02	-0.03	-0.006	-0.005	-0.009	-0.016	-0.024	-0.022	-0.0353	0.2576	0
12 17 1996	0.0111	-0.0024	-0.01	0	0	-0.01	-0.01	-0.016	0.005	0.005	0.005	-0.003	0.0051	-0.0759	0
02 05 1997	-0.0365	0	-0.01	0.01	0.02	0.03	-0.011	0.005	0.009	0.022	0.022	0.03	0.0223	-0.3361	0
03 25 1997	0.04	0.04	0.045	0.065	0.075	0.065	0.011	0.026	0.07	0.072	0.056	0.048	0.0341	-0.6655	1
05 20 1997	-0.0986	-0.0787	-0.07	-0.07	-0.055	-0.05	-0.073	-0.091	-0.035	-0.03	-0.013	-0.005	0.0107	0.5508	0
07 02 1997	-0.0214	0.008	0	0	0	0	0	-0.005	0	-0.008	-0.009	-0.01	-0.0104	0.1924	0
08 19 1997	0	0.01	-0.005	0.01	0.015	0.015	0	0.005	0.009	0.017	0.013	0.015	0.0076	-0.4278	0
09 30 1997	0	0	-0.01	-0.005	-0.005	0.005	-0.005	-0.016	-0.004	0.003	0.006	0.008	0.0101	-0.2064	0
11 12 1997	-0.0417	0.0031	-0.03	-0.03	-0.03	-0.035	-0.026	-0.017	-0.03	-0.024	-0.023	-0.013	-0.0218	-0.5521	0
12 16 1997	0	-0.0117	-0.005	-0.005	-0.01	-0.01	-0.005	0.005	-0.013	-0.006	-0.004	-0.005	-0.0014	-0.1299	0
02 04 1998	0	0	0.01	0.015	0.02	0.025	0	0.016	0.017	0.011	0.007	0.003	0.0018	-0.3372	0
03 31 1998	-0.01	-0.01	-0.005	0	0.005	0	-0.016	0	0.004	0.004	0.004	0	0.004	-0.0181	0
05 19 1998	-0.0258	-0.0095	-0.03	-0.015	-0.015	-0.015	-0.011	-0.011	-0.018	-0.011	-0.008	-0.004	-0.0041	-0.1169	0
07 01 1998	-0.0052	0.031	0.005	0	0.005	0.005	-0.005	0	0	0.003	0.002	0.001	0.0007	0.0876	0
08 18 1998	0.0119	0	0.005	-0.005	0	-0.005	-0.01	-0.006	-0.004	0.001	0	0.003	-0.0013	0.1645	0
09 29 1998	0.05	0.0731	0.05	0.005	0.01	0.015	0	0.011	0.021	0.014	-0.004	0.004	-0.0269	-0.7518	1
10 15 1998	-0.2422	-0.2371	-0.245	-0.27	-0.27	-0.275	-0.166	-0.254	-0.254	-0.199	-0.15	-0.081	-0.0904	2.0426	1
11 17 1998	-0.0692	0.0659	-0.035	-0.03	0.005	-0.01	-0.057	-0.053	-0.013	-0.008	-0.01	-0.001	-0.0128	0.8119	1
12 22 1998	0	0.0112	0.01	-0.005	-0.005	0	-0.006	0.01	0.004	-0.004	0.002	0.019	0.0097	-0.1328	0
02 03 1999	0.0056	0	-0.005	0.015	0.01	0.005	-0.005	0	0.012	0.019	0.024	0.015	0.0305	0.1498	0
03 30 1999	-0.01	-0.01	-0.02	-0.025	-0.025	-0.035	-0.016	-0.016	-0.029	-0.019	-0.006	0.002	0.0109	-0.2064	0
05 18 1999	-0.0119	0.02	0.03	0.12	0.145	0.165	0.021	0.08	0.111	0.124	0.108	0.069	0.0875	-1.4356	1
06 30 1999	-0.03	-0.07	-0.095	-0.095	-0.105	-0.12	-0.031	-0.049	-0.109	-0.11	-0.077	-0.045	-0.0331	1.6091	1
08 24 1999	0.035	0.0112	0.003	0	-0.005	-0.025	0.021	-0.005	0	-0.02	-0.019	-0.003	-0.0178	0.5728	1
10 05 1999	-0.0417	-0.0166	0.035	0.075	0.1	0.1	0	0.032	0.076	0.078	0.072	0.057	0.0644	-0.8293	1
11 16 1999	0.075	0.0905	0.065	0.08	0.075	0.06	0.042	0.021	0.077	0.053	0.038	0.023	0.018	-0.4176	1
12 21 1999	0.0155	-0.0065	0.01	0.045	0.035	0.05	0.011	0.027	0.031	0.044	0.04	0.039	0.0347	0.4772	1
